IDabarrote,TipoTienda,Tamaño,CantGondolas,Departamento,CantidadUnidadesStockAnual,CantidadVentasAnual,CantMesas
18,TIENDA MOSTRADOR,42.00,NO,ANTIOQUIA,"391,568","1,233,687,298",0
20,TIENDA MOSTRADOR,20.00,SI,ANTIOQUIA,"181,063","562,645,902",0
24,TIENDA  AUTOSERVICIO,22.00,SI,ANTIOQUIA,"268,509","911,022,222",0
25,TIENDA  AUTOSERVICIO,70.00,SI,ANTIOQUIA,"476,180","1,511,338,938",2
26,TIENDA MOSTRADOR,49.00,NO,ANTIOQUIA,"119,068","593,405,532",0
30,TIENDA  AUTOSERVICIO,25.00,SI,ANTIOQUIA,"143,588","536,722,852",0
36,TIENDA MOSTRADOR,39.00,NO,ANTIOQUIA,"59,683","278,094,615",0
39,TIENDA  AUTOSERVICIO,42.00,SI,ANTIOQUIA,"217,879","708,306,556",0
40,TIENDA  AUTOSERVICIO,0.00,SI,ANTIOQUIA,47,"170,000",0
47,TIENDA MOSTRADOR,22.00,NO,ANTIOQUIA,"62,659","256,808,862",0
49,TIENDA MOSTRADOR,14.00,NO,ANTIOQUIA,"29,591","121,760,873",1
51,TIENDA MOSTRADOR,27.00,NO,ANTIOQUIA,"168,543","600,353,226",0
56,TIENDA  AUTOSERVICIO,50.00,SI,ANTIOQUIA,"8,239","629,098,555",0
63,TIENDA MOSTRADOR,28.00,NO,ANTIOQUIA,"30,167","142,259,014",0
65,TIENDA MOSTRADOR,0.00,NO,ANTIOQUIA,"5,104","15,420,500",0
70,TIENDA MOSTRADOR,20.00,NO,ANTIOQUIA,"89,012","286,435,778",0
78,TIENDA  AUTOSERVICIO,40.00,SI,ANTIOQUIA,"114,216","426,906,453",1
82,TIENDA MOSTRADOR,34.00,NO,ANTIOQUIA,"195,252","530,003,928",4
100,TIENDA MOSTRADOR,17.00,NO,ANTIOQUIA,"100,694","233,864,434",3
106,TIENDA  AUTOSERVICIO,60.00,SI,ANTIOQUIA,"262,190","760,557,464",3
109,TIENDA MOSTRADOR,16.00,NO,ANTIOQUIA,"264,188","608,089,917",3
111,TIENDA  AUTOSERVICIO,45.00,SI,CUNDINAMARCA,"177,714","461,454,079",0
114,TIENDA MOSTRADOR,27.00,NO,ANTIOQUIA,"249,183","727,241,090",0
117,TIENDA  AUTOSERVICIO,30.00,SI,ANTIOQUIA,"154,400","392,179,249",0
126,TIENDA  AUTOSERVICIO,22.00,NO,ANTIOQUIA,"139,753","406,727,040",0
145,TIENDA MOSTRADOR,25.00,NO,ANTIOQUIA,"120,933","424,197,980",0
146,TIENDA  AUTOSERVICIO,47.00,SI,CUNDINAMARCA,"227,509","761,441,110",0
150,TIENDA  AUTOSERVICIO,50.00,SI,ANTIOQUIA,"313,197","1,261,675,165",1
153,TIENDA  AUTOSERVICIO,29.00,SI,ANTIOQUIA,"193,887","605,752,793",1
156,TIENDA MOSTRADOR,57.00,NO,ATLANTICO,"174,009","404,272,180",4
166,TIENDA MOSTRADOR,42.00,SI,CUNDINAMARCA,"281,782","681,033,888",0
172,TIENDA MOSTRADOR,18.00,NO,ANTIOQUIA,"164,305","354,761,786",3
175,MINIMERCADO GRANDE,75.00,SI,CUNDINAMARCA,"344,006","1,046,397,792",0
189,TIENDA MOSTRADOR,54.00,NO,ANTIOQUIA,"162,439","372,506,548",0
193,TIENDA MOSTRADOR,18.00,NO,CUNDINAMARCA,"35,061","117,255,833",0
198,TIENDA  AUTOSERVICIO,20.00,SI,CUNDINAMARCA,"278,695","1,036,322,116",0
207,TIENDA MOSTRADOR,17.00,NO,ANTIOQUIA,"119,355","355,519,133",0
229,TIENDA  AUTOSERVICIO,36.00,NO,ANTIOQUIA,"125,038","293,180,900",0
230,TIENDA CON REJA,15.00,NO,ANTIOQUIA,"276,090","660,572,544",0
235,TIENDA  AUTOSERVICIO,48.00,SI,CUNDINAMARCA,"140,557","411,821,095",0
253,TIENDA MOSTRADOR,20.00,NO,ANTIOQUIA,"258,221","699,607,706",0
281,TIENDA CON REJA,15.00,NO,ANTIOQUIA,"120,982","407,236,157",1
291,TIENDA  AUTOSERVICIO,32.00,NO,ATLANTICO,"49,153","193,959,604",4
311,TIENDA CON REJA,30.00,NO,ANTIOQUIA,"294,905","665,467,952",0
317,TIENDA  AUTOSERVICIO,0.00,SI,CUNDINAMARCA,"121,683","246,075,977",0
329,TIENDA  AUTOSERVICIO,30.00,SI,ANTIOQUIA,"263,719","930,648,990",0
330,TIENDA  AUTOSERVICIO,56.00,SI,ATLANTICO,"321,990","770,602,399",0
346,TIENDA  AUTOSERVICIO,38.00,SI,CUNDINAMARCA,"80,539","233,104,081",0
347,MINIMERCADO,40.00,SI,CUNDINAMARCA,"214,107","752,532,554",0
352,MINIMERCADO GRANDE,58.00,SI,ANTIOQUIA,"174,802","604,197,510",1
